('B2F171420', '另眼看世界--光谱成像漫谈', 'Spectral Imaging: Another way to look at the world', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98D85D36AB6638C8E0506F0A20036B33', '17', '1.0')
('B2F290130', '《孟子》研读', 'Chinese Classics Reading: Mencius', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290130', '29', '2.0')
('B2F171310', '微纳传感与探测', 'Micro-nano Sensing and Detection', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99919FCF2131951AE0506F0A200305F9', '17', '1.0')
('B2G030360', '大数据与类脑智能', 'Big data and Brain-inspired Intelligence', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G030360', '03', '2.0')
('B2F110330', '名师研讨课 法律与社会', 'Law and Society', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=AFCB127B4F086645E050007F01004652', '11', '1.0')
('B2F110140', '舞蹈之美', 'Beauty of Dance', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9726AB06F24B25FFE0506F0A20030A31', '11', '2.0')
('B2F090170', '应用数学分析（2）', 'Applied mathematical analysis(Ⅱ)', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=979A28F224DBB9EEE0506F0A20030DF8', '09', '2.0')
('50G03460', '多旋翼无人机原理与应用', 'Multi-rotor UAV: Principle and Application', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G03460', '50', '1.0')
('B2G170640', '前沿医学仪器原理', 'Principles of cutting-edge medical instruments', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A7E1BC04617B0F60E050007F010020A5', '17', '1.0')
('B2F200150', '证据法学', 'Evidence Law', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=982B930F72B4F6D7E0506F0A20031CDA', '20', '2.0')
('B2F293490', '媒介素养', 'Media Literacy', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F293490', '29', '2.0')
('B2G240130', '高级翻译', 'Advanced Translation', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96B3403AE532B9FEE0506F0A2003190E', '24', '2.0')
('B2F030360', '自动化科学与电气工程导论', '自动化科学与电气工程导论', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=966D28DD21CC6AD3E0506F0A200346DD', '03', '1.5')
('B2F171120', '仪器科学与科技文明', 'Instrument Science & Science and Technology Civilization', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9A53EE15F57417E8E0506F0A20033088', '17', '2.0')
('B2F200260', '航空航天法', 'Air Law and Space Law', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F200260', '20', '2.0')
('50G05120', '航空航天技术', 'Aerospace Technology', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G05120', '50', '1.5')
('B2G120421', '学术英语口语', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B3FAE93858739C0EE050007F01003602', '12', '2.0')
('B2G110400', '生活中的管理学', 'Management in Life', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A9F94E1E626E758CE050007F010010C9', '11', '1.0')
('B2G170200', '脑电信号感知与处理', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98B46010AE601CF1E0506F0A2003116B', '17', '2.0')
('B2G110250', '歌剧欣赏', 'Appreciation of Opera', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9743852A7927D9D9E0506F0A2003061C', '11', '1.0')
('B2G050340', '航天器热控制技术实验室课堂', '航天器热控制技术实验室课堂', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B292313B6DB5DA01E050007F01001269', '05', '1.0')
('50G11220', '芭蕾艺术鉴赏', 'Appreciation?of Ballet Art', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G11220', '50', '1.5')
('B2F110370', '中国语文经典文本选读', 'Chinese Classical Text Reading Course', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=975B68746100062DE0506F0A20032378', '11', '2.0')
('B2F290250', '欧洲中世纪史', 'Medieval Europe: A Short History', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290250', '29', '2.0')
('B2G170541', 'Lasers in Medicine', 'Lasers in Medicine', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=983A1B48CB69C328E0506F0A20035A66', '17', '2.0')
('B2F490540', '走进存储器世界', 'Memories', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B1BF9A17D501602FE050007F01000A0E', '49', '1.0')
('B2G260210', '透视与空间', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96A6A28154E3ED54E0506F0A20036DA9', '26', '1.0')
('B2F100120', '走近月宫一号', 'Coming Close to the Lunar Palace 1', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F100120', '10', '1.0')
('B2G020300', '航空信息工程技术实验室课堂', '航空信息工程实验室', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B352397AC6D1A0D1E050007F010032EF', '02', '1.0')
('B2F130270', 'Python编程与智能车技术', 'Python Programming and Intelligent Vehicle Technology', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F130270', '13', '2.0')
('B2G170670', '惯性技术与量子传感技术实验室课堂', '惯性技术重点实验室实验室课堂', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B2DE8D91E972D00AE050007F01006710', '17', '1.0')
('B2F140260', '状态感知：自然-人-机器', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=966D7591CA2E8E6AE0506F0A20034D55', '14', '2.0')
('B2G110380', '芭蕾艺术与名剧赏析', 'Appreciation of Ballet and Famous Ballet Dramas', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A6630DF32FB473FDE050007F01004249', '11', '1.0')
('B2G170190', '计算成像技术导论', 'Introduction to computational imaging technology', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98C2D67EA57DDF44E0506F0A20030CDA', '17', '1.0')
('50G40310', '英美时文选读', 'Selected Reading s from Latest British & American Media', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40310', '50', '1.5')
('B2F290270', '现代社会的诞生', 'The Birth of Modern Society', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290270', '29', '2.0')
('B2G110230', '舞蹈美学概论', 'Introduction to Dance Aesthetics', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9730D87578FBC8B0E0506F0A200363CA', '11', '1.0')
('B2F110170', '合唱与指挥', 'Chorus and Conducting', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F110170', '11', '2.0')
('B2G080190', '人身保险', 'Personal  Insurance', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96C3A9ECAF4BAD8AE0506F0A20030C82', '08', '1.5')
('B2F110320', '公民权利', 'Civil Rights', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=979DDC65354F30C1E0506F0A200360F3', '11', '2.0')
('50G01270', '国际商法', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96A6A1F17BB77480E0506F0A20036DAF', '20', '1.5')
('B2F110130', '音乐作品分析与欣赏', 'Appreciation and Analysis of Music', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=D106F5052EA4FF21E050007F010054DA', '11', '2.0')
('B2G240110', '公共法语（1）', 'public french (1)', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96AE099C826C256EE0506F0A20032467', '24', '4.0')
('B2G170571', '液体光子器件', '液体光子器件', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BDDDC0ED67AB3FC9E050007F01007ACA', '17', '2.0')
('B2F110150', '西方音乐史与名曲鉴赏', 'A History and Appreciation of Western Music', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=978709D0AB2333AAE0506F0A200363BB', '11', '2.0')
('B2F050240', '航空航天与科技创想', 'Aerospace and Technology Innovation', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F050240', '05', '1.0')
('B2F171250', '神奇的量子仪器', 'Magic Quantum Instrument', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99A5D89ABE1616A9E0506F0A20037755', '17', '1.0')
('B2G010440', '金相技能训练', 'Metallographic skills training', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B434196936C4687BE050007F0100148E', '01', '0.5')
('B2G260190', '转描动画技法', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=964333A2CB43F199E0506F0A20036ADE', '26', '1.0')
('50G12520', '英语演讲', 'Public Speaking', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G12520', '50', '1.5')
('B2F171220', '视觉感知与导航', 'Visual Perception and Navigation', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98F35E5DB521A89AE0506F0A20036186', '17', '1.0')
('B2G110290', '大学生学习指导', 'learning guidance of College students', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=972004F065BD5FDCE0506F0A200372E6', '11', '1.0')
('B2F050330', '动物运动的弹性机制', 'Elastic Mechanism of Animal Movement', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F050330', '05', '1.0')
('B2G120220', '俄语二外(1)', 'Russian(Second Foreign Language) (1)', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B3D4D5F23C774891E050007F010010D6', '12', '2.0')
('B2F241060', '工业系统中的科学技术与实践五：现代工业系统控制方法与实现', 'Science Technology and Practical Activities in Industrial System-Unit 5：Autumation Technology in Modern Industrial System', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F241060', '24', '1.0')
('B2F140250', '电子系统测试性设计技术', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=95EE26A3A2BF4C1DE0506F0A2003586D', '14', '1.0')
('B2F110260', '合唱与声乐艺术', 'Vocal and Choral Art', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97447152E0E6C237E0506F0A2003197C', '11', '2.0')
('B2F020450', '北斗高性能导航与应用', 'BDS High Performance Navigation and Its Application', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=960775DAC65BA2CFE0506F0A20034D85', '02', '1.0')
('B2F241050', '工业系统中的科学技术与实践三：现代工业系统的设计分析方法', 'Science Technology and Practical Activities in Industrial System-Unit 3：Design and Analysis method for Modern Industrial System', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F241050', '24', '1.0')
('B2F020290', '信息前沿理论', 'Advanced Information Theory', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97C0968CF6D2A751E0506F0A200361DD', '02', '1.0')
('B2F170160', '先进导航系统概论', 'Introduction to Advanced Navigation System', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98C617D2769C89E3E0506F0A2003611F', '17', '2.0')
('B2G560370', '创业实训（1）', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G560370', '56', '1.0')
('B2F140150', '可靠性物理', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96AA5BC3EDB2413CE0506F0A20034B07', '14', '2.0')
('B2F290190', '博弈与社会', 'Game and Society', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290190', '29', '2.0')
('50G01110', '人生哲学', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BE499BC6DF35BD5CE050007F010073A7', '28', '1.5')
